Value of r, Time for 1st implementation(ms), 2nd (ms), 3rd (ms), 4th (ms), 5th (ms), 6th (ms)
1,0,0.00041,0,0,0,0.00041
2,0.00041,0.00041,0.00041,0.00082099,0.00082,0.000411004
3,0.00287099,0.00246101,0.00246199,0.00246101,0.00246199,0.00287201
4,0.018462,0.018051,0.018051,0.018871,0.018051,0.018871
5,0.14359,0.142359,0.144001,0.152206,0.14441,0.151384
6,1.16185,1.14585,1.15528,1.17374,1.12451,1.18236
7,11.1578,10.3856,36.5079,26.784,9.4236,43.7732
8,171.971,133.975,161.317,200.055,156.601,195.86
9,1526.22,1077.05,1381.47,1404.45,1134.08,1445.69
10,15781.1,9418.85,15274.8,21739.4,8638.92,19988.8
11,171847,72153.9,149865,209641,77590.3,179668
